Influencer_I,Social_Media_I,Radio_I,Influencer_S,Social_Media_S,Radio_S,revenue,beef,chicken,cag_V,DATE
11405123,5945479,216475453.4,90003.23,30000,693000,14201964.62,3.841,2.93,29.16,2019-10-06
11405123,5945479,211874540.5,90003.23,30000,693000,15703190.71,3.841,2.93,28.5,2019-10-13
54811539,5945479,207273627.6,339515.58,30000,693000,16903252.55,3.841,2.93,27.68,2019-10-20
59584985,7056590,202672714.6,370265.58,35000,693000,17041206.68,3.841,2.93,27.959999,2019-10-27
505839713,7056590,198071801.7,3872465.58,35000,693000,44838814.19,3.812,2.948,28.23,2019-11-03
571056542,7056590,193470888.8,4517212.35,35000,693000,34654156.8,3.812,2.948,28.83,2019-11-10
577619165,1111111,188869975.9,4572212.35,5000,693000,36825456.94,3.812,2.948,29.639999,2019-11-17
587035706,2800000,184269063,4622212.35,200000,693000,39523546.72,3.812,2.948,29.309999,2019-11-24
587035706,1400000,179668150,4622212.35,200000,693000,58638124.42,3.812,2.94,29.610001,2019-12-01
593914691,700000,175067237.1,4655412.35,200000,693000,34595451,3.862,2.94,29.469999,2019-12-08
593914691,1697570,170466324.2,4655412.35,15000,693000,38934322.21,3.862,2.94,35.169998,2019-12-15
592261088,1697570,165865411.3,4645412.35,15000,693000,45290872.74,3.862,2.94,35.59,2019-12-22
579858607,900000,161264498.4,4571012.35,200000,693000,64776493.72,3.862,2.94,34.41,2019-12-29
765971312,1200000,156663585.5,5040559.92,200000,693000,64894467.84,3.886,3.113,33.82,2020-01-05
334391815,1402444,152062672.5,1031847.57,12500,693000,24732351.93,3.886,3.113,33.369999,2020-01-12
359787836,1402444,147461759.6,1216447.57,12500,693000,26557621.63,3.886,3.113,33.25,2020-01-19
361867680,1402444,142860846.7,1238447.57,12500,693000,26292907.18,3.886,3.113,33.470001,2020-01-26
361867680,1402444,138259933.8,1238447.57,12500,693000,28287255.18,3.865,3.059,33.27,2020-02-02
366640989,1504626,133659020.9,1235977.57,15000,693000,32890363.52,3.865,3.059,33.02,2020-02-09
60376324,1504626,129058108,381000,15000,693000,5841619.91,3.865,3.059,31.43,2020-02-16
56464034,1504626,124457195,341000,15000,693000,5115095.26,3.865,3.059,29.35,2020-02-23
51492975,5432354,119856282.1,275638.66,40000,693000,3178917.26,3.865,3.013,28.969999,2020-03-01
37834990,3927728,115255369.2,375735.12,25000,693000,36760762.07,3.881,3.013,28.23,2020-03-08
21294848,3927728,110654456.3,315735.12,25000,693000,44275947.01,3.881,3.013,31.940001,2020-03-15
10595182,3927728,106053543.4,246335.12,25000,693000,52300359.72,3.881,3.013,28.120001,2020-03-22
5860503,3927728,101452630.4,206000,25000,693000,31399641.03,3.881,3.013,31.950001,2020-03-29
5860503,1727728,96851717.53,206000,15000,693000,32570266.98,4.052,2.956,32.869999,2020-04-05
3848503,1727728,92250804.61,35000,200000,693000,928.58,4.052,2.956,33.73,2020-04-12
3848503,1727728,87649891.69,35000,200000,693000,1324.52,4.052,2.956,34.66,2020-04-19
3848503,1727728,83048978.78,35000,200000,693000,1688.79,4.052,2.956,35.450001,2020-04-26
57773903,1727728,78448065.86,472500,200000,693000,14732596.16,4.461,3.158,33.939999,2020-05-03
57773903,1727728,73847152.94,472500,200000,693000,15541169.5,4.461,3.158,34.57,2020-05-10
57773903,1727728,69246240.02,472500,200000,693000,16024383.67,4.461,3.158,34.459999,2020-05-17
57773903,1727728,239480018,472500,200000,14593572,298070926.3,4.461,3.158,34.860001,2020-05-24
384498887,1727728,234879105.1,2992500,200000,14593572,308051668.1,4.461,3.158,35.18,2020-05-31
384498887,4964080,230278192.1,2992500,5000,14593572,314923043.7,4.737,3.348,34.080002,2020-06-07
384498887,7186302,225677279.2,2992500,25000,14593572,327659351.5,4.737,3.348,34.869999,2020-06-14
394982306,7186302,257883669.7,3045294.65,25000,14638572,323526762.1,4.737,3.348,34.709999,2020-06-21
341056906,7186302,253282756.7,2607794.65,25000,14638572,276481175.9,4.737,3.348,36.049999,2020-06-28
1230103004,16753956,248681843.8,10339724.99,97500,14638572,430608370.9,4.264,3.349,36.490002,2020-07-05
1682764650,17792739,244080930.9,13694724.99,102500,14638572,434401710.2,4.264,3.349,37.119999,2020-07-12
1683022636,19192739,267085495.5,13697724.99,117500,14697234,432281508.5,4.264,3.349,37.200001,2020-07-19
2388251654,57721910,262484582.6,18195430.34,432500,14697234,658511352.4,4.264,3.349,37.82,2020-07-26
2489286119,105496756,221076366.3,18875430.34,795000,58662,409350240.6,4.177,3.221,38.07,2020-08-02
2488683293,106680628,64645327.11,18863500,805000,693000,446638042.6,4.177,3.221,38.119999,2020-08-09
2489140796,108100628,60044414.19,18868500,817500,693000,439431871.1,4.177,3.221,38.360001,2020-08-16
2488882810,106700628,55443501.27,18865500,802500,693000,438484282.8,4.177,3.221,39.34,2020-08-23
2488882810,57428003,50842588.35,18865500,427500,693000,426700660.6,4.177,3.221,38.709999,2020-08-30
2684824518,57428003,46241675.43,20386569.66,427500,693000,467858576.1,4.076,3.276,37.080002,2020-09-06
2676921099,12171544,41640762.52,20344069.66,102500,693000,454795389.4,4.076,3.276,35.209999,2020-09-13
2677343099,17732170,37039849.6,20349069.66,157000,693000,476726733.8,4.076,3.276,35.900002,2020-09-20
2677343099,17732170,32438936.68,20349069.66,157000,693000,463851577.8,4.076,3.276,37.169998,2020-09-27
2801695847,24232170,27838023.76,21049399.2,204000,693000,521614117.1,4.008,3.276,37.740002,2020-10-04
1640412090,13480626,23237110.85,13176399.2,114000,693000,229153894.2,4.008,3.302,38.419998,2020-10-11
425243834,12288889,18636197.93,2936399.2,99000,693000,107775008.9,4.008,3.302,38.259998,2020-10-18
137068383,12288889,14035285.01,773399.2,99000,693000,79028066.41,4.008,3.302,38.150002,2020-10-25
137068383,12288889,9434372.093,773399.2,99000,693000,80045288.67,4.008,3.29,36.849998,2020-11-01
5502800,3900000,4833459.175,70000,35000,693000,3940610.98,4.027,3.29,36.389999,2020-11-08
25771171,3900000,232546.2576,160000,35000,693000,4121432.76,4.027,3.29,36.549999,2020-11-15
25771171,3900000,119856282.1,160000,200000,693000,101570.51,4.027,3.29,36.07,2020-11-22
25771171,128319264,216475453.4,160000,1053000,693000,8557029.85,4.027,3.29,36.599998,2020-11-29
29776293,128319264,216475453.4,194000,1053000,693000,7991773.83,3.951,3.412,35.950001,2020-12-06
28121996,128319264,216475453.4,159000,1053000,693000,9361922.85,3.951,3.412,36.259998,2020-12-13
28121996,128319264,216475453.4,159000,1053000,693000,9594209.12,3.951,3.412,36.529999,2020-12-20
28121996,128319264,216475453.4,159000,1053000,693000,9373672.97,3.951,3.412,36.98,2020-12-27
785164498,173379264,23237110.85,4382765.2,1413000,693000,108552561.5,3.965,3.293,36.48,2021-01-03
781315995,184545264,23237110.85,4347765.2,1360000,693000,126812036.4,3.965,3.293,34.27,2021-01-10
794761139,210043065,23237110.85,4484565.2,1495000,693000,161617871.4,3.965,3.293,34.669998,2021-01-17
790756017,149457801,23237110.85,4450565.2,1045000,693000,138491001.1,3.965,3.293,36.599998,2021-01-24
794724907,149457801,23237110.85,4485565.2,1045000,693000,129906901.8,3.965,3.293,35.029999,2021-01-31
794724907,149457801,23237110.85,4485565.2,1045000,693000,142642873.6,3.987,3.26,35.450001,2021-02-07
614409226,149457801,23237110.85,3608000.2,1045000,693000,140125960.3,3.987,3.26,34.93,2021-02-14
525830070,123960000,18636197.93,2805000.2,910000,693000,97489595.67,3.987,3.26,35.580002,2021-02-21
525830070,126211848,18636197.93,2805000.2,930000,693000,86607398.28,3.987,3.26,35.779999,2021-02-28
122235013,54359689,170466324.2,1110000.2,325000,693000,37962702.24,3.987,3.239,37.189999,2021-03-07
5916615,54359689,4833459.175,45000,325000,693000,3438460.58,4.042,3.239,37.990002,2021-03-14
2421731,54359689,119856282.1,20000,325000,693000,2895546.44,4.042,3.239,38.57,2021-03-21
2421731,52107841,119856282.1,20000,305000,693000,2545133.94,4.042,3.239,38.98,2021-03-28
3700000,18027841,4833459.175,20000,160000,693000,3319059.77,4.096,3.291,37.900002,2021-04-04
3700000,15120000,119856282.1,20000,135000,693000,2381882.16,4.096,3.291,37.740002,2021-04-11
3714622,15120000,119856282.1,47000,135000,693000,2634096.81,4.096,3.291,38.689999,2021-04-18
3714622,15120000,119856282.1,47000,135000,693000,2775396.17,4.096,3.291,37.650002,2021-04-25
3714622,15120000,119856282.1,47000,135000,693000,2606033,4.101,3.406,38.560001,2021-05-02
3714622,15120000,119856282.1,47000,200000,693000,44078.7,4.101,3.406,38.599998,2021-05-09
9617223,15120000,119856282.1,97000,200000,693000,80169.14,4.101,3.406,38.470001,2021-05-16
