ds,y,yhat1,residual1,yhat2,residual2,yhat3,residual3,yhat4,residual4,yhat5,residual5,yhat6,residual6,yhat7,residual7,yhat8,residual8,yhat9,residual9,yhat10,residual10,yhat11,residual11,yhat12,residual12,yhat13,residual13,yhat14,residual14,yhat15,residual15,yhat16,residual16,ar1,ar2,ar3,ar4,ar5,ar6,ar7,ar8,ar9,ar10,ar11,ar12,ar13,ar14,ar15,ar16,trend,season_yearly,season_weekly,season_daily
2021-10-24,1587348.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-31,1764412.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-07,1697315.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-14,1612654.05,1357803.625,-254850.42500000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-363250.9375,,,,,,,,,,,,,,,,346322.03125,-8571.7568359375,329154.09375,1054150.25
2021-11-21,1242642.27,1417361.5,174719.22999999998,1352360.5,109718.22999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-277901.53125,-342902.5625,,,,,,,,,,,,,,,352432.5625,-40473.8828125,329154.09375,1054150.25
2021-11-28,1854592.28,1344830.0,-509762.28,1379666.0,-474926.28,1305915.5,-548676.78,,,,,,,,,,,,,,,,,,,,,,,,,,,-309303.21875,-274467.09375,-348217.53125,,,,,,,,,,,,,,358543.09375,-87714.3828125,329154.09375,1054150.25
2021-12-05,1615549.47,1319113.25,-296436.22,1279203.125,-336346.345,1308734.25,-306815.22,1331234.625,-284314.845,,,,,,,,,,,,,,,,,,,,,,,,,-291461.28125,-331371.53125,-301840.34375,-279340.0,,,,,,,,,,,,,364653.46875,-137383.25,329154.09375,1054150.25
2021-12-12,1711585.76,1453995.75,-257590.01,1293365.75,-418220.01,1286292.875,-425292.885,1319645.0,-391940.76,1172427.0,-539158.76,,,,,,,,,,,,,,,,,,,,,,,-125803.5078125,-286433.6875,-293506.5625,-260154.390625,-407372.375,,,,,,,,,,,,370764.0,-174269.0625,329154.09375,1054150.25
2021-12-19,898561.87,1310499.875,411938.005,1393272.5,494710.63,1311649.25,413087.38,1266387.375,367825.505,1268397.0,369835.13,1113371.625,214809.755,,,,,,,,,,,,,,,,,,,,,-262258.78125,-179486.125,-261109.421875,-306371.34375,-304361.6875,-459387.0,,,,,,,,,,,376874.53125,-187420.28125,329154.09375,1054150.25
2021-12-26,1143033.53,1217136.5,74102.96999999997,1318461.875,175428.34499999997,1317013.0,173979.46999999997,1206582.25,63548.71999999997,1306847.375,163813.84499999997,1193845.5,50811.96999999997,1163537.875,20504.344999999972,,,,,,,,,,,,,,,,,,,-374453.34375,-273127.9375,-274576.8125,-385007.59375,-284742.5625,-397744.34375,-428051.96875,,,,,,,,,,382985.0625,-174699.625,329154.09375,1054150.25
2022-01-02,1641738.38,1091087.0,-550651.3799999999,1144594.25,-497144.1299999999,1361383.0,-280355.3799999999,1319528.25,-322210.1299999999,1357770.625,-283967.7549999999,1273029.0,-368709.3799999999,1264918.625,-376819.7549999999,1197622.25,-444116.1299999999,,,,,,,,,,,,,,,,,-538196.1875,-484688.90625,-267900.09375,-309754.875,-271512.46875,-356254.1875,-364364.625,-431660.9375,,,,,,,,,389095.625,-143116.859375,329154.09375,1054150.25
2022-01-09,1737738.39,1434357.25,-303381.1399999999,1337659.25,-400079.1399999999,1227644.125,-510094.2649999999,1395704.125,-342034.2649999999,1445526.0,-292212.3899999999,1342660.0,-395078.3899999999,1309657.375,-428081.0149999999,1305668.5,-432069.8899999999,1157623.875,-580114.5149999999,,,,,,,,,,,,,,,-239342.0,-336040.09375,-446055.125,-277995.1875,-228173.28125,-331039.34375,-364041.84375,-368030.84375,-516075.46875,,,,,,,,395206.0,-104811.078125,329154.09375,1054150.25
2022-01-16,1570082.92,1620694.625,50611.705000000075,1710092.25,140009.33000000007,1230469.125,-339613.7949999999,1221750.25,-348332.6699999999,1444801.625,-125281.29499999993,1452049.875,-118033.04499999993,1313648.875,-256434.04499999993,1311274.875,-258808.04499999993,1274143.0,-295939.9199999999,1238086.125,-331996.7949999999,,,,,,,,,,,,,-93206.4921875,-3808.941650390625,-483431.96875,-492150.78125,-269099.40625,-261851.25,-400252.28125,-402626.28125,-439758.125,-475815.03125,,,,,,,401316.53125,-70719.8828125,329154.09375,1054150.25
2022-01-23,1603378.44,1453988.375,-149390.06499999994,1577253.5,-26124.939999999944,1648887.75,45509.310000000056,1390854.375,-212524.06499999994,1415065.75,-188312.68999999994,1377271.375,-226107.06499999994,1443486.0,-159892.43999999994,1288036.875,-315341.56499999994,1294967.75,-308410.68999999994,1314228.25,-289150.18999999994,1120304.75,-483073.68999999994,,,,,,,,,,,-291611.25,-168346.078125,-96711.8671875,-354745.0625,-330533.78125,-368328.1875,-302113.5,-457562.71875,-450631.6875,-431371.34375,-625294.75,,,,,,407427.0625,-45131.86328125,329154.09375,1054150.25
2022-01-30,1697462.16,1504833.875,-192628.28499999992,1439968.5,-257493.65999999992,1536876.5,-160585.65999999992,1576143.25,-121318.90999999992,1281487.875,-415974.2849999999,1374604.875,-322857.2849999999,1423760.125,-273702.0349999999,1497982.25,-199479.90999999992,1255054.0,-442408.1599999999,1358810.875,-338651.2849999999,1269449.5,-428012.6599999999,1283402.875,-414059.2849999999,,,,,,,,,-268118.875,-332984.21875,-236076.15625,-196809.453125,-491464.875,-398347.78125,-349192.53125,-274970.40625,-517898.6875,-414141.84375,-503503.21875,-489549.875,,,,,413537.59375,-23889.271484375,329154.09375,1054150.25
2022-02-06,1740910.64,1455108.5,-285802.1399999999,1526671.75,-214238.8899999999,1474072.625,-266838.0149999999,1492214.875,-248695.7649999999,1664419.25,-76491.3899999999,1310879.0,-430031.6399999999,1328626.375,-412284.2649999999,1426446.75,-314463.8899999999,1497726.125,-243184.5149999999,1316049.25,-424861.3899999999,1330181.125,-410729.5149999999,1346884.75,-394025.8899999999,1337001.25,-403909.3899999999,,,,,,,-350655.25,-279092.09375,-331691.15625,-313548.96875,-141344.390625,-494884.8125,-477137.46875,-379317.0,-308037.625,-489714.625,-475582.6875,-458879.03125,-468762.59375,,,,419648.0625,2811.280029296875,329154.09375,1054150.25
2022-02-13,1581863.69,1506800.5,-75063.18999999994,1551240.75,-30622.939999999944,1565966.625,-15897.064999999944,1581930.375,66.68500000005588,1652012.0,70148.31000000006,1644873.875,63010.185000000056,1391502.5,-190361.18999999994,1314081.25,-267782.43999999994,1395907.125,-185956.56499999994,1537515.875,-44347.814999999944,1343296.875,-238566.81499999994,1394428.375,-187435.31499999994,1395524.625,-186339.06499999994,1329153.875,-252709.81499999994,,,,,-346646.625,-302206.3125,-287480.5625,-271516.84375,-201435.171875,-208573.25,-461944.625,-539365.875,-457540.09375,-315931.21875,-510150.25,-459018.78125,-457922.53125,-524293.3125,,,425758.59375,44384.09765625,329154.09375,1054150.25
2022-02-20,1647249.87,1631568.5,-15681.370000000112,1609840.375,-37409.49500000011,1604958.5,-42291.37000000011,1642633.75,-4616.120000000112,1550782.375,-96467.49500000011,1667872.375,20622.50499999989,1770554.25,123304.37999999989,1438197.0,-209052.8700000001,1300552.375,-346697.4950000001,1484865.0,-162384.8700000001,1634047.0,-13202.870000000112,1443397.875,-203851.9950000001,1410745.75,-236504.1200000001,1387705.875,-259543.9950000001,1396650.0,-250599.8700000001,,,-287214.4375,-308942.46875,-313824.28125,-276149.125,-368000.53125,-250910.5,-148228.703125,-480586.03125,-618230.6875,-433917.9375,-284735.84375,-475384.96875,-508037.25,-531077.125,-522132.84375,,431869.125,103609.3359375,329154.09375,1054150.25
2022-02-27,1917630.4,1727274.375,-190356.0249999999,1681855.125,-235775.2749999999,1677773.0,-239857.3999999999,1704436.375,-213194.0249999999,1705174.375,-212456.0249999999,1574620.5,-343009.8999999999,1726771.625,-190858.7749999999,1820626.875,-97003.5249999999,1700990.5,-216639.8999999999,1515543.125,-402087.2749999999,1492118.625,-425511.7749999999,1659116.0,-258514.3999999999,1480564.0,-437066.3999999999,1493229.75,-424400.6499999999,1440575.125,-477055.2749999999,1428848.125,-488782.2749999999,-267387.25,-312806.4375,-316888.6875,-290225.15625,-289487.15625,-420041.125,-267889.96875,-174034.625,-293671.25,-479118.40625,-502543.0,-335545.625,-514097.625,-501431.875,-554086.5625,-565813.5,437979.65625,173377.65625,329154.09375,1054150.25
2022-03-06,,1702962.875,,1791484.375,,1748100.375,,1785735.5,,1715726.0,,1688773.75,,1674830.375,,1832421.625,,1936782.5,,1639814.625,,1581223.0,,1597991.875,,1732382.75,,1600290.0,,1525102.25,,1457794.875,,-362648.5625,-274127.0625,-317511.25,-279876.0,-349885.4375,-376837.75,-390781.125,-233189.828125,-128829.1015625,-425796.90625,-484388.46875,-467619.625,-333228.8125,-465321.40625,-540509.25,-607816.75,444090.1875,238216.953125,329154.09375,1054150.25
2022-03-13,,,,1805886.0,,1829766.25,,1846417.625,,1756536.5,,1690863.125,,1755070.75,,1716428.0,,1862856.875,,1819605.75,,1626207.875,,1588231.25,,1628796.375,,1699455.25,,1669638.5,,1608574.625,,,-307702.65625,-283822.46875,-267171.21875,-357052.34375,-422725.5625,-358518.0,-397160.6875,-250731.84375,-293982.9375,-487380.96875,-525357.5,-484792.375,-414133.59375,-443950.3125,-505014.0,450200.5625,280083.78125,329154.09375,1054150.25
2022-03-20,,,,,,1815661.875,,1848068.25,,1792080.875,,1694077.375,,1715909.5,,1753286.25,,1649142.125,,1818717.25,,1872505.375,,1634311.5,,1519775.75,,1625171.375,,1684885.875,,1774155.625,,,,-309769.90625,-277363.65625,-333350.90625,-431354.4375,-409522.34375,-372145.5625,-476289.71875,-306714.5625,-252926.46875,-491120.34375,-605656.0625,-500260.40625,-440546.03125,-351276.1875,456311.125,285816.3125,329154.09375,1054150.25
2022-03-27,,,,,,,,1828414.5,,1814662.375,,1691360.5,,1689174.0,,1671306.375,,1658459.0,,1674568.625,,1819318.5,,1859653.875,,1598887.125,,1610617.25,,1555474.625,,1635887.125,,,,,-270117.9375,-283870.03125,-407172.03125,-409358.46875,-427226.03125,-440073.5,-423963.84375,-279213.84375,-238878.609375,-499645.34375,-487915.1875,-543057.8125,-462645.3125,462421.625,252806.421875,329154.09375,1054150.25
2022-04-03,,,,,,,,,,1691823.625,,1665125.25,,1664203.5,,1612043.75,,1541388.0,,1616858.0,,1492568.125,,1725062.0,,1673830.875,,1405209.625,,1580519.125,,1495445.5,,,,,,-350277.78125,-376976.15625,-377897.90625,-430057.8125,-500713.4375,-425243.5625,-549533.25,-317039.46875,-368270.5,-636891.875,-461582.3125,-546656.0,468532.1875,190264.90625,329154.09375,1054150.25
2022-04-10,,,,,,,,,,,,1536045.125,,1613553.0,,1582032.375,,1461261.125,,1489664.75,,1480620.25,,1509306.875,,1675077.875,,1671421.5,,1462930.125,,1696942.0,,,,,,,-437425.09375,-359917.09375,-391437.71875,-512209.0,-483805.375,-492849.9375,-464163.25,-298392.21875,-302048.625,-510540.03125,-276528.15625,474642.71875,115523.09375,329154.09375,1054150.25
2022-04-17,,,,,,,,,,,,,,1499756.0,,1528724.75,,1443393.625,,1428180.125,,1324261.0,,1453287.75,,1441892.25,,1546133.25,,1495315.625,,1282676.25,,,,,,,,-411434.0,-382465.34375,-467796.34375,-483010.03125,-586929.0625,-457902.40625,-469297.84375,-365056.78125,-415874.40625,-628513.8125,480753.15625,47132.5703125,329154.09375,1054150.25
2022-04-24,,,,,,,,,,,,,,,,1421151.0,,1414042.375,,1441075.75,,1266764.125,,1379508.75,,1401730.0,,1343540.875,,1435670.125,,1384988.625,,,,,,,,,-446977.4375,-454086.21875,-427052.8125,-601364.375,-488619.8125,-466398.59375,-524587.625,-432458.375,-483139.9375,486863.6875,-2039.681640625,329154.09375,1054150.25
2022-05-01,,,,,,,,,,,,,,,,,,1307474.875,,1414609.75,,1316719.875,,1353375.0,,1370917.625,,1337898.0,,1330884.75,,1334946.75,,,,,,,,,,-540164.3125,-433029.5,-530919.3125,-494264.25,-476721.625,-509741.1875,-516754.5,-512692.4375,492974.15625,-28639.447265625,329154.09375,1054150.25
2022-05-08,,,,,,,,,,,,,,,,,,,,1345472.125,,1340308.625,,1377076.0,,1359036.125,,1332011.5,,1302130.125,,1257917.375,,,,,,,,,,,-498833.75,-503997.21875,-467229.875,-485269.6875,-512294.25,-542175.6875,-586388.4375,499084.6875,-38083.32421875,329154.09375,1054150.25
2022-05-15,,,,,,,,,,,,,,,,,,,,,,1221513.875,,1382863.875,,1369167.75,,1325228.5,,1323541.375,,1277505.625,,,,,,,,,,,,-626985.9375,-465635.9375,-479332.03125,-523271.3125,-524958.3125,-570994.125,505195.15625,-39999.8359375,329154.09375,1054150.25
2022-05-22,,,,,,,,,,,,,,,,,,,,,,,,1344706.25,,1375128.125,,1318458.5,,1324000.5,,1327877.625,,,,,,,,,,,,,-507503.84375,-477081.96875,-533751.625,-528209.5625,-524332.375,511305.6875,-42400.12890625,329154.09375,1054150.25
2022-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,1347170.5,,1340992.25,,1316331.125,,1315345.875,,,,,,,,,,,,,,-505957.46875,-512135.75,-536796.875,-537782.25,517416.21875,-47592.54296875,329154.09375,1054150.25
2022-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321962.25,,1317571.25,,1268470.875,,,,,,,,,,,,,,,-533065.375,-537456.3125,-586556.75,523526.75,-51803.61328125,329154.09375,1054150.25
2022-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330740.5,,1310172.125,,,,,,,,,,,,,,,,-533738.0,-554306.375,529637.25,-48463.16796875,329154.09375,1054150.25
2022-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365690.25,,,,,,,,,,,,,,,,,-520175.6875,535747.6875,-33186.109375,329154.09375,1054150.25
